#r_lamD	r_arcsec	I	contrast	core_thput	PSF_peak	area_sq_as	occ_trans
2.60	0.181026	2.80E-12	6.06E-09	0.01005	0.00046	0.00543	0.04003
2.80	0.194951	2.78E-12	4.48E-09	0.01470	0.00062	0.00621	0.05377
3.00	0.208876	2.58E-12	3.34E-09	0.01696	0.00077	0.00543	0.06807
3.20	0.222801	2.39E-12	2.58E-09	0.02215	0.00093	0.00621	0.08183
3.40	0.236726	2.22E-12	2.11E-09	0.02419	0.00105	0.00582	0.09413
3.60	0.250651	2.14E-12	1.86E-09	0.02658	0.00115	0.00582	0.10440
3.80	0.264576	2.19E-12	1.78E-09	0.02968	0.00123	0.00621	0.11247
4.00	0.278501	2.25E-12	1.76E-09	0.03099	0.00128	0.00621	0.11851
4.20	0.292426	2.27E-12	1.74E-09	0.03180	0.00131	0.00621	0.12290
4.40	0.306351	2.25E-12	1.70E-09	0.03225	0.00132	0.00621	0.12610
4.60	0.320276	2.18E-12	1.64E-09	0.03382	0.00133	0.00659	0.12854
4.80	0.334201	2.09E-12	1.57E-09	0.03393	0.00133	0.00659	0.13058
5.00	0.348126	2.01E-12	1.51E-09	0.03394	0.00133	0.00659	0.13242
5.20	0.362051	2.00E-12	1.51E-09	0.03526	0.00133	0.00698	0.13420
5.40	0.375976	2.05E-12	1.54E-09	0.03523	0.00133	0.00698	0.13592
5.60	0.389901	2.12E-12	1.60E-09	0.03521	0.00133	0.00698	0.13754
5.80	0.403826	2.25E-12	1.70E-09	0.03521	0.00133	0.00698	0.13899
6.00	0.417751	2.36E-12	1.78E-09	0.03524	0.00133	0.00698	0.14022
6.20	0.431676	2.42E-12	1.82E-09	0.03396	0.00133	0.00659	0.14120
6.40	0.445601	2.41E-12	1.80E-09	0.03402	0.00133	0.00659	0.14192
6.60	0.459526	2.33E-12	1.74E-09	0.03409	0.00134	0.00659	0.14240
6.80	0.473452	2.21E-12	1.64E-09	0.03416	0.00134	0.00659	0.14262
7.00	0.487377	2.04E-12	1.52E-09	0.03288	0.00135	0.00621	0.14248
7.20	0.501302	1.91E-12	1.42E-09	0.03422	0.00135	0.00659	0.14173
7.40	0.515227	1.83E-12	1.35E-09	0.03271	0.00135	0.00621	0.13992
7.60	0.529152	1.81E-12	1.35E-09	0.03221	0.00134	0.00621	0.13639
7.80	0.543077	1.89E-12	1.46E-09	0.03109	0.00130	0.00621	0.13039
8.00	0.557002	2.05E-12	1.69E-09	0.02790	0.00122	0.00582	0.12133
8.20	0.570927	2.29E-12	2.07E-09	0.02523	0.00111	0.00582	0.10899
8.40	0.584852	2.56E-12	2.66E-09	0.02177	0.00096	0.00582	0.09380
8.60	0.598777	2.78E-12	3.54E-09	0.01779	0.00079	0.00582	0.07680
8.80	0.612702	2.95E-12	4.88E-09	0.01306	0.00060	0.00543	0.05948
9.00	0.626627	3.01E-12	6.92E-09	0.00932	0.00044	0.00543	0.04343
