#     r(lam/D)     r(arcsec)        I           contrast       core_thruput      PSF_peak      area(sq_arcsec)  occ*lyot
      2.70000     0.128699   1.5893840e-11   9.8427249e-09     0.011007705    0.0013682667    0.0021811874       0.0000000
      3.00000     0.142999   1.3907996e-11   4.8351083e-09     0.021180184    0.0026087685    0.0022379893      0.43715896
      3.30000     0.157299   6.6729859e-12   1.7171315e-09     0.031352660    0.0038492701    0.0022947911      0.43715896
      3.60000     0.171598   1.6376414e-12   3.6886894e-10     0.036120848    0.0045367598    0.0022266290      0.43715896
      3.90000     0.185898   2.4139688e-12   5.0226012e-10     0.039015600    0.0047944611    0.0022947911      0.43715896
      4.20000     0.200198   6.7384570e-12   1.3371110e-09     0.040321570    0.0050336213    0.0022493497      0.43715896
      4.50000     0.214498   8.4550682e-12   1.6075579e-09     0.041627540    0.0052727814    0.0022039082      0.43715896
      4.80000     0.228798   5.9003024e-12   1.0774521e-09     0.043299634    0.0054843129    0.0022039082      0.43715896
      5.10000     0.243098   2.1438162e-12   3.8735487e-10     0.044008965    0.0055330688    0.0022266289      0.43715896
      5.40000     0.257398   1.5180525e-12   2.7196348e-10     0.044718295    0.0055818247    0.0022493496      0.43715896
      5.70000     0.271698   3.5401064e-12   6.3494343e-10     0.044649717    0.0055737599    0.0022493496      0.43715896
      6.00000     0.285997   4.7761326e-12   8.5776192e-10     0.044581138    0.0055656951    0.0022493496      0.43715896
      6.30000     0.300297   4.5191615e-12   8.1301027e-10     0.044515899    0.0055568642    0.0022493496      0.43715896
      6.60000     0.314597   3.2671288e-12   5.8849370e-10     0.044450660    0.0055480333    0.0022493496      0.43715896
      6.90000     0.328897   2.7100854e-12   4.8932319e-10     0.044385421    0.0055392025    0.0022493496      0.43715896
      7.20000     0.343197   2.6348799e-12   4.7621501e-10     0.044320182    0.0055303716    0.0022493496      0.43715896
      7.50000     0.357497   2.5206332e-12   4.5619056e-10     0.044287812    0.0055258230    0.0022493496      0.43715896
      7.80000     0.371797   2.5884915e-12   4.6882881e-10     0.044255442    0.0055212744    0.0022493496      0.43715896
      8.10000     0.386097   2.6342572e-12   4.7743792e-10     0.044223071    0.0055167257    0.0022493496      0.43715896
      8.40000     0.400396   3.1069925e-12   5.6273275e-10     0.044254884    0.0055211622    0.0022493485      0.43715896
      8.70000     0.414696   5.1581539e-12   9.3312691e-10     0.035980646    0.0055265121    0.0017722134      0.43715896
      9.00000     0.428996   1.9480787e-11   3.5233663e-09     0.019966113    0.0055312603    0.0010224311      0.43715896
      9.30000     0.443296   6.2416038e-11   1.1279515e-08    0.0086632260    0.0055351556   0.00061345872      0.43715896
