# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
11 Oph b,Confirmed,21,3,3,,,,,,,730000,365000,365000,243,55,55,,,,,,,1.675862,2007,6/18/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145,20,20,,,,0.0162,0.005,0.005,,,,M9,0.011,0.002,0.002,2375,175,175,,,"Oph 11A, Oph 1622-2405"
1RXS 1609 b,Confirmed,14,3,2,,,,1.7,,,,,,330,0,0,,,,,,,2.275862,2008,11/15/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,4,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,20,20,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060,200,200,,,"1RXS J160929, 1RXS J1609, 1RXS1609"
1RXS J235133.3+312720 b,Confirmed,32,6,6,,,,,,,,,,120,20,20,,,,,,,,2012,2/26/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.8903083,31.45639469,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
2M 0103-55 (AB) b,Confirmed,13,1,1,,,,,,,,,,84,,,,,,,,,,2013,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M 0122-24 b,Confirmed,20,7,7,,,,1,0.2,0.2,,,,52,6,6,,,,,,,,2013,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,Published in a refereed paper,Imaging,,,,,2M 0122-24,20.7125,-24.6142,,,,,,36,4,4,,,,0.4,0.05,0.05,,,,M3.5,0.12,0.01,0.01,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.84166667,-39.42305557,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064,76,76,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.5,2.5,2.5,,,,,,,,,,15,0.6,0.6,,,,,,,0.107143,2010,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,
2M 0746+20 b,Confirmed,12.21,0.4,0.4,,,,0.97,0.06,0.06,4640,25,25,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,10/4/18,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,0.05,0.05,,,,0.08,0.002,0.002,0.089,0.003,0.003,L0,,,,2205,50,50,,,
2M 2140+16 b,Confirmed,20,20,80,,,,0.92,0.39,0.39,7340,584,584,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,1/20/12,223,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25,10,10,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300,80,80,,,
2M 2206-20 b,Confirmed,30,20,70,,,,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,0.167979,2010,1/20/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350,80,80,,,
