*SPECTRA OF METHANE, JOVIAN PLANETS, AND TITAN
*Data from:  Spectrophotometry of the Jovian Planets and Titan 
*at 300 - 1000 nm Wavelength: the Methane Spectrum
*Column 1:  Vacuum wavelength (nm)
*       2:  Air wavelength (nm)
*       3:  Methane absorption coefficient (1/km-am)
*       4:  Full-disk albedo of Jupiter
*       5:  Full-disk albedo of Saturn
*       6:  Full-disk albedo of Uranus
*       7:  Full-disk albedo of Neptune
*       8:  Full-disk albedo of Titan
 300.4  300.31   .0000 .2889 .2601 .5251 .5269 .0725
 300.8  300.71   .0000 .2932 .2604 .5296 .5428 .0678
 301.2  301.11   .0000 .2931 .2576 .5324 .5507 .0705
 301.6  301.51   .0000 .2927 .2539 .5288 .5553 .0627
 302.0  301.91   .0000 .2979 .2573 .5321 .5670 .0602
 302.4  302.31   .0000 .2969 .2614 .5320 .5674 .0566
 302.8  302.71   .0000 .2920 .2633 .5286 .5741 .0562
 303.2  303.11   .0000 .2883 .2631 .5285 .5802 .0545
 303.6  303.51   .0000 .2851 .2600 .5277 .5791 .0526
 304.0  303.91   .0000 .2849 .2572 .5285 .5752 .0559
 304.4  304.31   .0000 .2872 .2582 .5323 .5720 .0597
 304.8  304.71   .0000 .2856 .2557 .5261 .5710 .0622
 305.2  305.11   .0000 .2856 .2539 .5226 .5718 .0588
 305.6  305.51   .0000 .2857 .2528 .5238 .5746 .0580
 306.0  305.91   .0000 .2840 .2534 .5306 .5748 .0583
 306.4  306.31   .0000 .2809 .2537 .5341 .5749 .0610
 306.8  306.71   .0000 .2797 .2539 .5332 .5732 .0621
 307.2  307.11   .0000 .2802 .2546 .5333 .5740 .0611
 307.6  307.51   .0000 .2804 .2554 .5361 .5736 .0602
 308.0  307.91   .0000 .2811 .2568 .5408 .5792 .0580
 308.4  308.31   .0000 .2798 .2571 .5449 .5870 .0557
 308.8  308.71   .0000 .2785 .2559 .5476 .5894 .0547
 309.2  309.11   .0000 .2786 .2528 .5467 .5862 .0559
 309.6  309.51   .0000 .2795 .2517 .5462 .5886 .0567
 310.0  309.91   .0000 .2804 .2529 .5426 .5828 .0565
 310.4  310.31   .0000 .2753 .2491 .5300 .5676 .0560
 310.8  310.71   .0000 .2704 .2453 .5190 .5600 .0563
 311.2  311.11   .0000 .2704 .2447 .5190 .5609 .0568
 311.6  311.51   .0000 .2723 .2442 .5229 .5671 .0568
 312.0  311.91   .0000 .2736 .2426 .5247 .5673 .0564
 312.4  312.31   .0000 .2730 .2411 .5216 .5627 .0568
 312.8  312.71   .0000 .2728 .2415 .5191 .5622 .0579
 313.2  313.11   .0000 .2726 .2414 .5177 .5606 .0578
