# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
eps Eridani b,Confirmed,0.77,0.2,0.2,0.77,0.2,0.2,,,,2692,26,26,3.39,0.36,0.36,0.07,0.06,0.06,89,1,1,1.059375,2000,10/10/18,180,150,150,2447200,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HD 22049, GJ 144, SAO 130564, HR 1084",,eps Eridani,53.2291667,-9.4580556,3.73,,,,,3.2,,,-0.13,0.04,0.04,0.83,0.05,0.05,0.895,0.085,0.085,K2 V,0.66,,,5116,,,Imaging,,HD 22049
GJ 876 e,Confirmed,0.045,0.001,0.001,0.039,0.001,0.001,,,,124.69,90.04,90.04,0.3343,0.0013,0.0013,0.073,0.048,0.048,59.5,,,0.071128,2010,2/23/16,360,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 832 b,Confirmed,0.689,0.16,0.16,0.689,0.16,0.16,,,,3660,260,310,3.6,0.36,0.36,0.08,0.08,0.09,,,,0.688259,2008,11/20/18,246,58,100,2451211,353,353,,,,,,,,,,,,,,,,,,,15.51,2.04,1.85,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,GJ 832,323.3916667,-49.0088889,8.67,,,,,4.94,0.025,0.025,-0.31,0.2,0.2,0.45,0.05,0.05,,,,,,,,,,,,,
HD 20794 d,Confirmed,0.0111,0.00318,0.0018,0.0111,0.00318,0.0018,,,,89.76,0.12,0.12,0.364,0.004,0.004,0.29,0.11,0.11,,,,0.057739,2011,2/13/19,252,44,48,,,,,,,,,,,,,,,,,,,,,,0.57,0.07,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,82 Eri d,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14,5,6,5490,70,70,IR Excess,,
61 Vir d,Confirmed,0.072,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,12/15/09,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
GJ 785 c,Confirmed,0.076,0.02,0.02,0.076,0.02,0.02,,,,525.8,9.2,9.2,1.18,0.025,0.025,0.32,0.11,0.11,,,,0.133787,2011,2/24/16,110,21,21,2455151.026,,,,,,,,,,,,,,,,,,,,,2.27,0.28,0.28,185,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 192310 c,,GJ 785,303.8208333,-27.0330556,6.13,,,,,8.911,0.024,0.024,0.08,0.03,0.03,0.78,0.02,0.02,0.68,0.02,0.02,K1V,,,,5144,50,50,IR Excess,,
GJ 433 c,Confirmed,0.14,,,0.14,,,,,,3693,253,253,3.6,,,0.17,0.09,0.09,,,,0.39823,2012,5/25/14,206,36,36,2456740,462,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,0.15,0.15,-0.22,,,0.48,,,,,,M1.5,,,,3600,,,,,
GJ 849 b,Confirmed,0.9,0.05,0.05,0.9,0.05,0.05,,,,1914,26,26,2.35,,,0.012,,,,,,0.267045,2006,8/22/14,351,60,60,11462,550,550,,,,2440537.34,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 849,332.4167,-4.6408,10.37,,,,,9.1,0.2,0.2,0.22,,,0.49,,,0.52,0.07,0.07,M3.5V,,,,,,,,,
HD 62509 b,Confirmed,2.9,0.1,0.1,2.9,0.1,0.1,,,,589.64,0.81,0.81,1.69,0.03,0.03,0.02,0.03,0.03,,,,0.163443,2006,8/21/15,354.58,95.65,95.65,2447739.02,4.5,4.5,,,,,,,,,,,,,,,,,,,46,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 62509,116.325,28.0261111,1.15,,,,,10.34,1,1,0.19,,,1.47,0.45,0.45,9.3,,, K0IIIb,,,,4666,95,95,,,
GJ 649 b,Confirmed,0.328,0.032,0.032,0.328,0.032,0.032,,,,598.3,4.2,4.2,1.135,0.035,0.035,0.3,0.08,0.08,,,,0.109768,2009,2/23/16,352,15,15,12876,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 649,254.5375,25.7441667,9.7,,,,,10.34,0.15,0.15,0.08,0.06,0.06,0.54,0.05,0.05,,,,M1.5,,,,3700,60,60,,,
