star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,27.084489,+27d05m04.2s,12.17,0.38,-0.35,5.8,0.01,0.69,0.02,G3V,0.7,0.09
HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,-49.075094,-49d04m30.3s,25.71,0.26,-0.25,5.7,0.02,0.52,0.01,F7V,3,0.11
HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,29.021935,+29d01m19.0s,13.67,0.14,-0.14,6.06,0.02,0.75,0,K0V,0.68,0.11
HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,29.090828,+29d05m27.0s,29.74,0.3,-0.29,2.06,0.01,-0.05,0.01,B9p,251.04,0.06
HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,59.150218,+59d09m00.8s,16.78,0.17,-0.17,2.26,0.02,0.36,0.02,F2III-IV,29.09,0.06
HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,-15.467323,-15d28m02.4s,18.75,0.19,-0.19,4.89,0.01,0.49,0.01,F5V,3.38,0.06
HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,-64.877623,-64d52m39.4s,8.59,,,4.23,0.01,0.58,0.01,G0V,1.33,0.05
HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,-77.255035,-77d15m18.1s,7.46,,,2.82,0.01,0.62,0.01,G1IV,3.7,0.05
HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,-43.679909,-43d40m47.7s,23.81,,,3.93,0.01,0.18,0.01,A6VN,12.77,0.05
HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,-42.305122,-42d18m18.4s,25.97,0.53,-0.51,2.4,0.01,1.08,0.02,K0IIIB,88.07,0.07
HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,2MASS J00372057-2446023 A,1,0,1,0,0,0,0,00h37m19.79s,-24.767225,-24d46m02.0s,15.4,0.48,-0.45,5.57,0,0.72,0,K1V+G,1.32,0.08
HD 3651,HIP 3093,HD 3651,GJ 27,2MASS J00392187+2115024,1,0,1,1,0,1,1,00h39m22.09s,21.251374,+21d15m04.9s,11.06,,,5.88,0.01,0.85,0.01,K0V,0.54,0.05
HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,-17.986684,-17d59m12.1s,29.53,,,2.02,0.02,1.04,0.02,K0III,151.95,0.06
HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,5.283389,+05d17m00.2s,7.45,,,5.74,0.01,0.89,0.01,K1V,0.3,0.05
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,57.816548,+57d48m59.6s,5.94,0.06,-0.06,3.45,0.02,0.57,0.02,G3V,1.31,0.06
HIP 3909,HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,0,00h50m07.72s,-10.64377,-10d38m37.6s,15.75,0.16,-0.16,5.16,0.02,0.51,0.01,F7V,1.85,0.1
HIP 4151,HIP 4151,HD 5015,GJ 41,2MASS J00530419+6107262,1,1,0,0,0,0,0,00h53m04.28s,61.123557,+61d07m24.8s,18.74,0.19,-0.19,4.8,0.01,0.54,0.01,F8V,3.66,0.05
HIP 5336,HIP 5336,HD 6582,GJ 53 A,2MASS J01081597+5455148 A,1,1,1,0,0,0,0,01h08m12.92s,54.924228,+54d55m27.2s,7.55,0.08,-0.07,5.17,0,0.7,0,G5Vp,0.46,0.1
HD 7449,HIP 5806,HD 7449,,2MASS J01142933-0502504,0,1,0,0,0,1,1,01h14m29.32s,-5.047387,-05d02m50.6s,38.52,1.11,-1.18,7.483,0.011,0.594,0.019,G0 V,,
HIP 5862,HIP 5862,HD 7570,GJ 55,2MASS J01151112-4531540,1,1,1,0,0,0,0,01h15m10.57s,-45.532097,-45d31m55.5s,15.11,,,4.96,0.02,0.57,0.01,G0V,2.07,0.06
HIP 6537,HIP 6537,HD 8512,,2MASS J01240142-0810596,0,1,0,0,0,0,0,01h24m01.40s,-8.183256,-08d10m59.7s,35.11,0.92,-0.98,3.59,,1.06,,K0 III,,
HIP 6686,HIP 6686,HD 8538,GJ 58.1,2MASS J01254889+6014070,0,1,0,0,0,0,0,01h25m48.95s,60.235283,+60d14m07.0s,30.48,0.56,-0.59,2.68,,0.13,,A5 IV,,
ups And,HIP 7513,HD 9826,GJ 61 A,2MASS J01364784+4124200,1,1,1,0,1,1,4,01h36m47.98s,41.406385,+41d24m23.0s,13.49,,,4.09,0.02,0.54,0.01,F8V,3.64,0.06
HIP 7751 B,HIP 7751 B,HD 10360,GJ 66 B,2MASS J01394755-5611471,1,0,1,0,0,0,0,01h39m47.24s,-56.196441,-56d11m47.2s,7.82,0.16,-0.15,5.68,0.02,0.86,0.02,K0/4,0.34,0.11
HIP 7918,HIP 7918,HD 10307,GJ 67,2MASS J01414714+4236483,1,1,1,1,0,0,0,01h41m46.52s,42.613807,+42d36m49.7s,12.74,0.13,-0.13,4.96,0,0.62,0,G2V,1.49,0.05
HD 10647,HIP 7978,HD 10647,GJ 3109,2MASS J01422932-5344271,1,0,1,0,0,1,1,01h42m29.15s,-53.740575,-53d44m26.1s,17.43,,,5.52,0.02,0.53,0.02,F8V,1.64,0.1
HIP 7981,HIP 7981,HD 10476,GJ 68,2MASS J01422977+2016073,1,1,1,1,1,1,0,01h42m29.95s,20.270151,+20d16m12.5s,7.53,,,5.24,0.01,0.84,0.01,K1V,0.47,0.05
HIP 8102,HIP 8102,HD 10700,GJ 71,2MASS J01440402-1556141,1,1,1,1,1,1,0,01h44m05.13s,-15.939556,-15d56m22.4s,3.65,,,3.49,0,0.73,0.01,G8.5V,0.52,0.05
HIP 8362,HIP 8362,HD 10780,GJ 75,2MASS J01474488+6351090,1,0,1,0,1,1,0,01h47m44.06s,63.853101,+63d51m11.2s,10.07,0.1,-0.1,5.63,0.01,0.8,0.01,K0V,0.55,0.05
HIP 8497,HIP 8497,HD 11171,GJ 9061 A,2MASS J01493510-1041110,1,1,0,0,0,0,0,01h49m35.19s,-10.686181,-10d41m10.3s,23.19,0.23,-0.23,4.65,0.02,0.33,0,F0V,6.09,0.06
HIP 8796,HIP 8796,HD 11443,GJ 78.1,2MASS J01530489+2934442,1,1,0,0,0,0,0,01h53m04.90s,29.579397,+29d34m45.8s,19.42,,,3.42,0.01,0.49,0.01,F6IV,13.85,0.05
HIP 8903,HIP 8903,HD 11636,GJ 80,2MASS J01543840+2048291,1,1,0,0,0,0,0,01h54m38.35s,20.808299,+20d48m29.9s,17.99,0.18,-0.18,2.63,0.02,0.16,0.02,A5V...,24.76,0.07
HIP 9007,HIP 9007,HD 11937,GJ 81 A,2MASS J01555745-5136319 A,1,1,0,0,0,0,0,01h55m56.83s,-51.609587,-51d36m34.5s,17.85,0.18,-0.18,3.69,0.01,0.84,0.02,G8IIIBCNIV,10.95,0.1
HIP 9236,HIP 9236,HD 12311,GJ 83,2MASS J01584623-6134113,1,1,0,0,0,0,0,01h58m45.87s,-61.569924,-61d34m11.7s,22.01,0.22,-0.22,2.86,0.01,0.29,0.01,F0V,28.75,0.06
alf Ari,HIP 9884,HD 12929,GJ 84.3,2MASS J02071038+2327447,1,1,0,0,0,1,1,02h07m10.29s,23.462777,+23d27m46.0s,20.18,0.2,-0.2,2.01,0,1.15,0.01,K2III,85.89,0.05
GJ 86,HIP 10138,HD 13445,GJ 86,2MASS J02102587-5049258,1,0,1,0,0,1,1,02h10m24.00s,-50.825315,-50d49m31.1s,10.78,,,6.12,0.01,0.81,0.02,K1V,0.42,0.1
HD 13931,HIP 10626,HD 13931,,2MASS J02164736+4346230,0,0,1,0,0,1,1,02h16m47.38s,43.772995,+43d46m22.8s,45.52,1.91,-2.08,7.597,0.011,0.642,0.019,G0,,
HIP 10644,HIP 10644,HD 13974,GJ 92,2MASS J02170303+3413278,1,1,1,0,0,0,0,02h17m02.42s,34.22483,+34d13m29.4s,10.78,,,4.86,0.02,0.61,0.01,G0V,1.21,0.06
HIP 10670,HIP 10670,HD 14055,,2MASS J02171888+3350500,0,1,0,0,0,0,0,02h17m18.87s,33.847195,+33d50m49.9s,36.06,1.06,-1.13,4.01,,0.02,,A0,,
