#r(lam/D)	r(arcsec)	I	contrast	tau_core	PSF_peak	area(as2)	occ*lyot
2.7	0.128699	1.59E-11	9.32E-08	0.01101	0.00137	0.00218	0.00000
3.0	0.142999	1.39E-11	4.58E-08	0.02118	0.00261	0.00224	0.43716
3.3	0.157299	6.67E-12	1.63E-08	0.03135	0.00385	0.00229	0.43716
3.6	0.171598	1.64E-12	3.49E-09	0.03612	0.00454	0.00223	0.43716
3.9	0.185898	2.41E-12	4.75E-09	0.03902	0.00479	0.00229	0.43716
4.2	0.200198	6.74E-12	1.27E-08	0.04032	0.00503	0.00225	0.43716
4.5	0.214498	8.46E-12	1.52E-08	0.04163	0.00527	0.00220	0.43716
4.8	0.228798	5.90E-12	1.02E-08	0.04330	0.00548	0.00220	0.43716
5.1	0.243098	2.14E-12	3.67E-09	0.04401	0.00553	0.00223	0.43716
5.4	0.257398	1.52E-12	2.57E-09	0.04472	0.00558	0.00225	0.43716
5.7	0.271698	3.54E-12	6.01E-09	0.04465	0.00557	0.00225	0.43716
6.0	0.285997	4.78E-12	8.12E-09	0.04458	0.00557	0.00225	0.43716
6.3	0.300297	4.52E-12	7.70E-09	0.04452	0.00556	0.00225	0.43716
6.6	0.314597	3.27E-12	5.57E-09	0.04445	0.00555	0.00225	0.43716
6.9	0.328897	2.71E-12	4.63E-09	0.04439	0.00554	0.00225	0.43716
7.2	0.343197	2.63E-12	4.51E-09	0.04432	0.00553	0.00225	0.43716
7.5	0.357497	2.52E-12	4.32E-09	0.04429	0.00553	0.00225	0.43716
7.8	0.371797	2.59E-12	4.44E-09	0.04426	0.00552	0.00225	0.43716
8.1	0.386097	2.63E-12	4.52E-09	0.04422	0.00552	0.00225	0.43716
8.4	0.400396	3.11E-12	5.33E-09	0.04425	0.00552	0.00225	0.43716
8.7	0.414696	5.16E-12	8.83E-09	0.03598	0.00553	0.00177	0.43716
9.0	0.428996	1.95E-11	3.34E-08	0.01997	0.00553	0.00102	0.43716
9.3	0.443296	6.24E-11	1.07E-07	0.00866	0.00554	0.00061	0.43716
