#r(lam/D)	r(arcsec)	I	contrast	tau_core	PSF_peak	area(as2)	occ*lyot
2.7	1.88E-01	4.30E-12	1.37E-08	1.34E-02	5.59E-04	6.21E-03	5.06E-02
2.9	2.02E-01	3.43E-12	1.35E-08	1.69E-02	7.35E-04	5.82E-03	6.71E-02
3.1	2.16E-01	2.73E-12	1.29E-08	2.21E-02	9.19E-04	6.21E-03	8.39E-02
3.3	2.30E-01	2.24E-12	1.23E-08	2.61E-02	1.08E-03	6.21E-03	9.98E-02
3.5	2.44E-01	1.91E-12	1.17E-08	2.97E-02	1.22E-03	6.21E-03	1.14E-01
3.7	2.58E-01	1.63E-12	1.11E-08	3.23E-02	1.33E-03	6.21E-03	1.25E-01
3.9	2.72E-01	1.38E-12	1.04E-08	3.70E-02	1.39E-03	6.98E-03	1.33E-01
4.1	2.85E-01	1.16E-12	9.78E-09	3.69E-02	1.44E-03	6.59E-03	1.39E-01
4.3	2.99E-01	1.06E-12	9.36E-09	3.62E-02	1.47E-03	6.21E-03	1.43E-01
4.5	3.13E-01	1.16E-12	9.23E-09	3.65E-02	1.48E-03	6.21E-03	1.46E-01
4.7	3.27E-01	1.45E-12	9.16E-09	3.66E-02	1.49E-03	6.21E-03	1.48E-01
4.9	3.41E-01	1.91E-12	9.16E-09	3.66E-02	1.48E-03	6.21E-03	1.50E-01
5.1	3.55E-01	2.39E-12	9.16E-09	3.66E-02	1.48E-03	6.21E-03	1.52E-01
5.3	3.69E-01	2.83E-12	9.16E-09	3.66E-02	1.48E-03	6.21E-03	1.53E-01
5.5	3.83E-01	3.04E-12	9.16E-09	3.66E-02	1.48E-03	6.21E-03	1.55E-01
5.7	3.97E-01	3.10E-12	9.16E-09	3.66E-02	1.48E-03	6.21E-03	1.56E-01
5.9	4.11E-01	3.02E-12	9.16E-09	3.66E-02	1.48E-03	6.21E-03	1.58E-01
6.1	4.25E-01	2.86E-12	9.16E-09	3.67E-02	1.49E-03	6.21E-03	1.58E-01
6.3	4.39E-01	2.73E-12	9.16E-09	3.67E-02	1.49E-03	6.21E-03	1.59E-01
6.5	4.53E-01	2.67E-12	9.16E-09	3.68E-02	1.49E-03	6.21E-03	1.59E-01
6.7	4.66E-01	2.68E-12	9.16E-09	3.68E-02	1.50E-03	6.21E-03	1.59E-01
6.9	4.80E-01	2.75E-12	9.16E-09	3.69E-02	1.50E-03	6.21E-03	1.59E-01
7.1	4.94E-01	2.84E-12	9.17E-09	3.69E-02	1.50E-03	6.21E-03	1.59E-01
7.3	5.08E-01	2.91E-12	9.19E-09	3.68E-02	1.50E-03	6.21E-03	1.57E-01
7.5	5.22E-01	2.99E-12	9.20E-09	3.63E-02	1.49E-03	6.21E-03	1.54E-01
7.7	5.36E-01	3.08E-12	9.22E-09	3.67E-02	1.45E-03	6.59E-03	1.49E-01
7.9	5.50E-01	3.20E-12	9.23E-09	3.36E-02	1.39E-03	6.21E-03	1.40E-01
8.1	5.64E-01	3.45E-12	9.25E-09	3.10E-02	1.28E-03	6.21E-03	1.28E-01
8.3	5.78E-01	3.71E-12	9.27E-09	2.72E-02	1.13E-03	6.21E-03	1.12E-01
8.5	5.92E-01	4.11E-12	9.28E-09	2.30E-02	9.59E-04	6.21E-03	9.37E-02
8.7	6.06E-01	4.50E-12	9.30E-09	1.74E-02	7.56E-04	5.82E-03	7.43E-02
8.9	6.20E-01	5.00E-12	9.31E-09	1.29E-02	5.66E-04	5.82E-03	5.56E-02
